name,listeners
ScHoolboy Q,618
Björk,617
"V, Park Hyo Shin",616
Luis Fonsi,616
Taba Chake,615
K. J. Yesudas,614
Tiësto,614
Abhay Jodhpurkar,614
KIDS SEE GHOSTS,613
Zaeden,613
America,612
Javed-Mohsin,612
Ali Sethi,611
Donn Bhat,610
blink-182,609
SYML,608
Donda,607
Abhijeet Srivastava,606
DrInsane,606
Crush,606
Florence + the Machine,605
Fiona Apple,603
Pusha T,603
HYBS,603
Justin Prabhakaran,601
Yashita Sharma,600
Valorant,599
Dominique Cerejo,599
Ozzy Osbourne,597
Arko,597
Qaran,597
Westside Gunn,596
Diplo,596
OG Lucifer,595
1NONLY,594
Sickick,594
Niki,593
Dean Blunt,591
Noah Cyrus,591
Louis Tomlinson,590
YoungBoy Never Broke Again,589
Kai,588
Yot Club,588
Taaruk Raina,588
Toto,588
Balu Brigada,587
Estelle,587
Bruno Major,586
Ami Mishra,586
Rito Riba,585
Don McLean,585
Dayglow,584
The Fray,583
akshath,583
M. M. Keeravaani,582
Wale,582
B.o.B,582
Arjan Dhillon,580
Reed Wonder,580
Sam C.S.,580
Nine Inch Nails,579
NMIXX,578
Portishead,577
BigXthaPlug,577
Lukas Graham,577
Phil Collins,576
Dreamville,575
Marvin Gaye,574
Tove Lo,574
Ranjith Govind,572
The White Stripes,572
Feng,571
Duran Duran,571
The Five Stairsteps,571
Love Spells,569
Ian,568
Madvillain,567
Miami XO,567
Electric Light Orchestra,565
C418,564
Jazzy B,563
Kensuke Ushio,562
Not For Radio,562
Portugal. The Man,562
Soulja Boy,562
Sadhana Sargam,562
Dikshant,561
Vidyasagar,560
Dream Note,560
Pantera,559
Lupe Fiasco,559
Vasu Raina,559
Stephen Dawes,559
Eric Clapton,558
Real Boss,557
Sub Urban,557
Coolio,557
Franz Ferdinand,556
Suzonn,555
Flo Milli,555
Disclosure,555
Scorpions,554
Twxn,554
Dean Lewis,554
Alessia Cara,554
Hesham Abdul Wahab,553
Naam Sujal,551
Meek Mill,551
Lost Stories,550
Between Friends,550
Duncan Laurence,549
Dove Cameron,548
The Living Tombstone,547
Jack Ü,547
Rosa Walton,546
Bill Withers,545
Manan Bhardwaj,544
Patrick Watson,544
Wham!,542
OsamaSon,541
Cameron Winter,540
Alisha Chinai,539
Lee So Ra,537
Tulsi Kumar,537
Øneheart,536
Tems,536
Phillip Phillips,536
HOYO-MiX,533
Pav Dharia,533
Nakash Aziz,532
Saahel,531
Dijon,531
Duster,530
Manna Dey,530
Rajesh Murugesan,530
Snoop Dogg,529
Walk the Moon,528
Kunal Ganjawala,528
Skillet,527
Vince Staples,527
"Black Country, New Road",526
Lola Young,526
6ix9ine,525
Furacão 2000,525
KiiiKiii,524
boygenius,524
Rashmeet Kaur,524
Jim Croce,524
Justine Skye,524
Buckshot,523
AJR,522
Panther,522
NAYEON,522
Bebe Rexha,522
Earl Sweatshirt,521
Vijay Yesudas,521
Amy Winehouse,520
Sooraj Santhosh,520
Kavinsky,520
Jhené Aiko,519
K. S. Chithra,519
InterWorld,519
Nicholas Britell,518
Avvy Sra,518
M.I.A.,517
Ckay,517
Iron Maiden,516
kobzx2z,516
Liana Flores,515
Quavo,513
Russ,513
Asal,512
Icona Pop,512
Jessie J,511
Raju Singh,511
Young Nudy,510
Cape,510
Kodaline,510
BOYNEXTDOOR,509
$uicideboy$,509
MAGIC!,509
Jane Remover,508
Amit Kumar,508
Aparshakti Khurana,508
John Denver,507
Natasha Bedingfield,507
Arjun Kanungo,507
Lynyrd Skynyrd,506
Chani Nattan,505
