artist,track,listeners,playcount
Billie Eilish,CHIHIRO,1482697,30335894
Billie Eilish,ocean eyes,1473928,17648636
Billie Eilish,lovely (with Khalid),1460014,17592436
Billie Eilish,everything i wanted,1414793,20986853
Billie Eilish,"What Was I Made For? [From the Motion Picture ""Barbie""]",1316346,19822312
Billie Eilish,i love you,1206939,18206896
Billie Eilish,idontwannabeyouanymore,1180352,14626861
Billie Eilish,bellyache,1150353,13684535
Billie Eilish,TV,1132898,17848840
Billie Eilish,you should see me in a crown,1124190,12191590
Billie Eilish,bury a friend,1087882,12592483
Billie Eilish,wish you were gay,1018648,11680209
Billie Eilish,Bored,1012000,11744022
Billie Eilish,all the good girls go to hell,986308,10166669
PinkPantheress,Pain,1810246,34293191
PinkPantheress,Boy's a liar Pt. 2,1538056,21942807
PinkPantheress,I Must Apologise,1147775,15174199
PinkPantheress,Break It Off - Bonus,1030596,10810737
PinkPantheress,Attracted to You,1013820,16824662
PinkPantheress,Illegal,970443,10641689
PinkPantheress,Just for Me,831099,10062118
PinkPantheress,Boy's a liar,737647,6472049
PinkPantheress,Tonight,730411,10680962
PinkPantheress,Passion,717038,8585796
PinkPantheress,Stateside + Zara Larsson,607816,7363914
PinkPantheress,Mosquito,585441,8182314
PinkPantheress,Stateside,569420,8510590
PinkPantheress,Take me home,537244,5332909
PinkPantheress,All My Friends Know,475151,4841418
PinkPantheress,Girl Like Me,463578,5846137
PinkPantheress,Picture In My Mind,452537,4238621
PinkPantheress,Break It Off,451498,5306862
PinkPantheress,The aisle,438614,4446755
PinkPantheress,Last Valentines,438508,4207609
Charli xcx,360,1562284,32405699
Charli xcx,Guess featuring billie eilish,1515406,28281921
Charli xcx,Apple,1388801,22678101
Charli xcx,Von dutch,1379522,30006317
Charli xcx,365,1253348,21602353
Charli xcx,Boom Clap,1168854,8863081
Charli xcx,party 4 u,1127394,18859492
Charli xcx,Club classics,1068181,17203210
Charli xcx,B2b,1037107,17817978
Charli xcx,Sympathy is a knife,1031083,17753559
Charli xcx,"Girl, so confusing featuring lorde",985928,15036802
Charli xcx,Talk talk,933655,12792006
Charli xcx,Everything is romantic,923377,12925984
Charli xcx,"Girl, so confusing",877956,8766575
Charli xcx,Vroom Vroom,815651,11242797
Charli xcx,I might say something stupid,813769,7302802
Charli xcx,Rewind,759522,7349640
Charli xcx,Mean girls,747801,7986534
Charli xcx,Speed Drive (From Barbie the Album),737570,8898478
Charli xcx,So I,711275,5954805
Tame Impala,The Less I Know the Better,2644766,45695465
Tame Impala,Borderline,1865943,27622198
Tame Impala,Feels Like We Only Go Backwards,1744133,18558170
Tame Impala,"New Person, Same Old Mistakes",1731138,22737330
Tame Impala,Let It Happen,1700623,24669165
Tame Impala,Eventually,1578817,18790133
Tame Impala,Nangs,1338603,12958166
Tame Impala,Elephant,1304822,11715411
Tame Impala,Yes I'm Changing,1171924,11269565
Tame Impala,Disciples,972617,7859747
Tame Impala,The Moment,926446,8015976
Tame Impala,One More Hour,833006,7011670
Tame Impala,Love/Paranoia,823604,6747494
Tame Impala,Dracula,805554,7271278
Tame Impala,Is It True,790716,7050580
Tame Impala,'Cause I'm a Man,724345,5555873
Tame Impala,Mind Mischief,694036,5689434
Tame Impala,Lost in Yesterday,669115,6187964
Tame Impala,Breathe Deeper,636137,5587740
Tame Impala,Past Life,608283,4119015
A$AP Rocky,Sundress,1334428,24379728
A$AP Rocky,Praise the Lord (Da Shine) (feat. Skepta),1253423,17525044
A$AP Rocky,Fashion Killa,1105218,16787649
A$AP Rocky,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),1035470,17186970
A$AP Rocky,LVL,966963,13541396
A$AP Rocky,L$D,930822,12565676
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",893178,8986448
A$AP Rocky,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",892678,9521805
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),790401,9830860
A$AP Rocky,Peso,729343,7942053
A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),709454,10472349
A$AP Rocky,Goldie,636846,5358464
A$AP Rocky,Purity (feat. Frank Ocean),552588,6512696
A$AP Rocky,Wassup,471313,4664083
A$AP Rocky,Sandman,464815,5790025
A$AP Rocky,R - Cali,437915,3081927
A$AP Rocky,Fukk Sleep (feat. FKA twigs),434283,3974818
A$AP Rocky,Long Live A$AP,434047,3566015
A$AP Rocky,Babushka Boi,426683,4391845
A$AP Rocky,Purple Swag,426157,3386078
Lana Del Rey,Summertime Sadness,2392877,33688922
Lana Del Rey,Video Games,2152674,30378352
Lana Del Rey,Young and Beautiful,2014086,25714598
Lana Del Rey,Born to Die,1999828,31032688
Lana Del Rey,West Coast,1780110,33009491
Lana Del Rey,Diet Mountain Dew,1777588,24158305
Lana Del Rey,Brooklyn Baby,1652004,28798380
Lana Del Rey,National Anthem,1576995,24944924
Lana Del Rey,Radio,1574106,21797970
Lana Del Rey,Doin' Time,1493182,24924159
Lana Del Rey,Cinnamon Girl,1460358,26856437
Lana Del Rey,Dark Paradise,1449275,19230881
Lana Del Rey,Blue Jeans,1348366,21240859
Lana Del Rey,Say Yes to Heaven,1293216,16227996
Lana Del Rey,Ultraviolence,1280860,22250506
